nobs lift graph cw ew path cpp pl
33 1.935310e-01 1.434320e-01 8.310170e-01 1.970000e-04 2.964900e-02 2.429600e-02 7.200000e-05
33 1.669630e-01 1.508050e-01 8.391090e-01 1.780000e-04 2.483750e-01 2.196500e-02 7.200000e-05
33 1.741910e-01 1.453330e-01 8.031770e-01 1.770000e-04 4.957300e-02 2.397400e-02 7.100000e-05
33 2.027970e-01 1.533440e-01 8.089450e-01 1.730000e-04 8.366300e-02 2.224500e-02 6.900000e-05
33 1.606210e-01 1.437150e-01 8.198100e-01 1.730000e-04 5.348000e-02 2.219100e-02 6.700000e-05
33 1.513490e-01 1.474260e-01 7.394120e-01 1.720000e-04 1.009310e-01 2.308900e-02 8.200000e-05
35 2.630290e-01 1.588670e-01 8.831260e-01 1.760000e-04 2.474600e-02 2.406700e-02 9.700000e-05
35 1.861630e-01 1.584850e-01 9.424340e-01 1.780000e-04 3.791800e-02 2.610800e-02 6.500000e-05
35 2.217060e-01 1.549980e-01 8.833250e-01 1.700000e-04 1.430760e-01 2.221400e-02 7.300000e-05
35 2.037890e-01 1.535630e-01 8.974530e-01 1.780000e-04 2.312150e-01 2.387800e-02 6.900000e-05
35 1.763150e-01 1.550670e-01 9.007330e-01 1.720000e-04 3.063400e-02 2.372100e-02 7.500000e-05
35 2.135190e-01 1.621250e-01 9.335460e-01 1.790000e-04 7.417600e-02 2.565400e-02 7.200000e-05
35 2.052740e-01 1.535010e-01 9.095070e-01 1.740000e-04 3.251400e-02 2.284000e-02 6.600000e-05
35 2.051420e-01 1.546830e-01 8.924510e-01 1.780000e-04 2.524310e-01 2.388700e-02 7.200000e-05
35 1.918890e-01 1.552560e-01 8.933100e-01 1.810000e-04 2.792200e-02 2.481600e-02 7.100000e-05
35 2.439330e-01 1.611760e-01 9.256220e-01 1.720000e-04 2.809690e-01 2.571700e-02 7.100000e-05
37 2.859810e-01 1.702300e-01 1.018512e+00 1.960000e-04 8.878000e-02 2.484800e-02 7.500000e-05
37 2.566130e-01 1.706200e-01 1.047108e+00 1.780000e-04 5.374100e-02 2.307600e-02 6.900000e-05
37 2.079010e-01 1.704360e-01 1.013027e+00 1.800000e-04 2.333120e-01 2.396800e-02 7.200000e-05
37 2.666240e-01 1.667570e-01 1.010186e+00 2.040000e-04 6.132800e-02 2.770600e-02 7.900000e-05
37 1.839500e-01 1.692530e-01 1.022197e+00 1.790000e-04 1.469810e-01 2.667800e-02 6.900000e-05
37 2.285640e-01 1.653230e-01 9.948430e-01 1.750000e-04 1.150720e-01 2.540600e-02 7.000000e-05
37 2.141240e-01 1.593120e-01 1.000703e+00 2.130000e-04 1.209470e-01 2.529900e-02 8.700000e-05
37 1.981300e-01 1.614390e-01 1.011161e+00 1.790000e-04 7.663000e-02 2.680900e-02 7.100000e-05
37 2.449290e-01 1.765530e-01 9.899730e-01 1.820000e-04 6.155400e-02 2.525200e-02 7.600000e-05
37 2.523430e-01 1.752740e-01 1.026444e+00 1.760000e-04 1.027300e-01 2.449900e-02 7.300000e-05
39 3.254670e-01 1.818080e-01 1.119609e+00 1.740000e-04 3.728800e-02 2.699300e-02 7.200000e-05
39 3.888120e-01 1.810340e-01 1.168770e+00 1.760000e-04 2.129430e-01 2.659400e-02 7.800000e-05
39 3.019300e-01 1.962950e-01 1.145202e+00 1.750000e-04 6.457700e-02 2.660200e-02 7.700000e-05
39 2.979490e-01 1.766430e-01 1.137935e+00 1.800000e-04 7.612700e-02 2.744000e-02 7.300000e-05
39 2.749540e-01 1.793410e-01 1.163212e+00 1.800000e-04 3.099400e-02 2.654500e-02 7.000000e-05
39 3.199730e-01 1.796990e-01 1.153726e+00 1.710000e-04 1.505630e-01 2.674200e-02 7.900000e-05
39 2.890690e-01 1.850850e-01 1.136870e+00 1.730000e-04 1.083300e-01 2.592800e-02 7.300000e-05
39 2.542630e-01 1.734370e-01 1.116530e+00 1.730000e-04 1.017050e-01 2.548600e-02 7.100000e-05
39 2.164740e-01 1.740200e-01 1.063994e+00 1.730000e-04 1.943260e-01 2.512300e-02 8.000000e-05
39 2.972100e-01 1.778170e-01 1.119455e+00 1.720000e-04 1.464440e-01 2.453100e-02 7.300000e-05
41 4.237880e-01 1.872870e-01 1.196812e+00 1.770000e-04 6.586500e-02 2.811800e-02 7.200000e-05
41 3.838670e-01 1.973610e-01 1.258821e+00 1.750000e-04 2.429770e-01 2.770000e-02 7.300000e-05
41 3.393660e-01 1.819910e-01 1.196657e+00 1.880000e-04 7.354500e-02 2.721700e-02 6.900000e-05
41 3.162830e-01 1.859770e-01 1.231336e+00 1.760000e-04 2.156260e-01 2.625900e-02 7.200000e-05
41 3.123500e-01 1.897110e-01 1.201611e+00 1.750000e-04 1.336070e-01 2.708600e-02 7.300000e-05
41 4.059590e-01 2.012720e-01 1.216133e+00 1.870000e-04 4.828100e-02 2.825100e-02 8.600000e-05
41 3.363000e-01 1.879100e-01 1.218170e+00 1.780000e-04 2.453500e-02 2.624400e-02 6.900000e-05
41 2.986210e-01 1.860820e-01 1.232981e+00 1.910000e-04 1.886000e-02 2.943200e-02 7.300000e-05
41 3.111810e-01 1.853620e-01 1.170563e+00 1.730000e-04 7.699200e-02 2.665800e-02 8.000000e-05
41 3.126660e-01 1.847180e-01 1.199297e+00 1.770000e-04 6.996500e-02 2.563400e-02 7.400000e-05
43 4.374420e-01 1.910310e-01 1.350727e+00 1.880000e-04 1.875150e-01 2.746200e-02 7.600000e-05
43 3.502140e-01 1.919510e-01 1.289551e+00 1.820000e-04 4.296000e-02 2.509600e-02 6.700000e-05
43 4.079720e-01 1.955260e-01 1.313030e+00 1.840000e-04 2.699030e-01 2.688400e-02 7.400000e-05
43 4.185640e-01 2.022150e-01 1.342973e+00 1.710000e-04 1.477930e-01 2.578900e-02 6.800000e-05
43 4.889340e-01 2.000990e-01 1.313447e+00 1.860000e-04 1.084740e-01 2.857600e-02 7.300000e-05
43 4.286300e-01 1.995830e-01 1.350102e+00 1.740000e-04 2.487280e-01 2.782600e-02 7.400000e-05
43 4.221300e-01 2.019000e-01 1.325355e+00 1.750000e-04 7.570800e-02 2.838900e-02 7.000000e-05
43 5.382270e-01 2.105130e-01 1.340164e+00 1.810000e-04 9.590500e-02 2.681900e-02 7.800000e-05
43 4.348640e-01 1.958400e-01 1.367626e+00 1.930000e-04 2.279500e-02 2.757700e-02 7.000000e-05
43 3.403050e-01 1.992770e-01 1.309173e+00 1.740000e-04 1.387430e-01 3.011600e-02 7.800000e-05
45 6.478490e-01 2.159780e-01 1.494161e+00 1.730000e-04 3.040600e-02 2.868700e-02 7.000000e-05
45 3.693940e-01 2.064620e-01 1.428097e+00 1.780000e-04 1.589330e-01 3.191500e-02 8.200000e-05
45 6.571820e-01 2.073170e-01 1.478188e+00 1.830000e-04 1.562640e-01 2.828000e-02 7.200000e-05
45 5.096930e-01 2.087820e-01 1.500243e+00 1.870000e-04 6.492200e-02 2.916500e-02 8.800000e-05
45 6.426860e-01 2.143460e-01 1.413696e+00 1.760000e-04 5.204700e-02 2.744400e-02 7.600000e-05
45 5.343950e-01 2.101700e-01 1.424265e+00 1.800000e-04 1.740840e-01 2.707300e-02 7.000000e-05
45 6.298600e-01 2.122050e-01 1.493665e+00 1.740000e-04 1.079150e-01 3.213300e-02 7.300000e-05
45 5.528220e-01 2.194660e-01 1.472202e+00 1.880000e-04 1.586510e-01 3.005900e-02 8.600000e-05
45 3.727140e-01 2.128910e-01 1.442933e+00 3.120000e-04 1.764800e-01 2.745700e-02 7.300000e-05
45 4.232600e-01 2.192960e-01 1.450093e+00 2.110000e-04 1.307970e-01 3.134600e-02 9.300000e-05
47 5.469590e-01 2.161150e-01 1.566347e+00 3.540000e-04 9.745900e-02 2.962500e-02 8.500000e-05
47 6.425760e-01 2.278220e-01 1.595912e+00 2.860000e-04 4.701000e-01 2.796500e-02 7.600000e-05
47 7.708750e-01 2.221940e-01 1.625827e+00 1.630000e-04 1.448730e-01 3.086200e-02 7.300000e-05
47 6.218560e-01 2.180180e-01 1.584686e+00 1.660000e-04 1.355920e-01 2.863700e-02 8.000000e-05
47 6.629620e-01 2.259120e-01 1.592320e+00 1.620000e-04 1.329760e-01 3.317400e-02 8.300000e-05
47 4.845400e-01 2.089660e-01 1.600496e+00 1.680000e-04 9.698100e-02 3.066800e-02 7.400000e-05
47 6.116030e-01 2.459680e-01 1.559372e+00 1.640000e-04 1.774120e-01 2.868700e-02 7.500000e-05
47 5.854390e-01 2.307780e-01 1.574464e+00 1.680000e-04 1.099980e-01 2.834000e-02 7.100000e-05
47 6.370860e-01 2.166120e-01 1.577038e+00 1.700000e-04 4.840800e-02 2.704300e-02 7.000000e-05
47 5.718890e-01 2.133520e-01 1.563333e+00 1.640000e-04 3.415200e-02 2.945100e-02 7.700000e-05
49 6.745760e-01 2.300550e-01 1.691650e+00 1.700000e-04 6.242100e-02 3.157200e-02 7.100000e-05
49 5.853620e-01 2.305720e-01 1.722281e+00 1.670000e-04 4.799730e-01 3.131000e-02 7.400000e-05
49 6.200420e-01 2.323880e-01 1.698111e+00 1.670000e-04 7.818300e-02 3.070300e-02 7.800000e-05
49 7.313970e-01 2.280940e-01 1.730924e+00 1.590000e-04 2.460840e-01 3.182700e-02 9.300000e-05
49 7.128930e-01 2.390150e-01 1.713653e+00 1.620000e-04 3.088200e-02 2.868100e-02 7.000000e-05
49 6.658010e-01 2.359180e-01 1.750615e+00 1.710000e-04 5.938000e-02 3.158200e-02 7.400000e-05
49 8.184270e-01 2.272110e-01 1.747946e+00 1.700000e-04 8.744800e-02 3.159400e-02 7.300000e-05
49 7.645070e-01 2.239280e-01 1.675649e+00 1.660000e-04 6.409200e-02 3.012800e-02 7.100000e-05
49 7.658530e-01 2.343640e-01 1.670613e+00 1.650000e-04 1.491410e-01 3.110700e-02 7.700000e-05
49 6.833770e-01 2.317330e-01 1.676385e+00 1.600000e-04 1.037630e-01 2.952900e-02 7.100000e-05
51 8.684840e-01 2.603600e-01 1.844276e+00 1.660000e-04 1.653630e-01 3.042900e-02 7.700000e-05
51 7.019280e-01 2.435570e-01 1.832249e+00 1.610000e-04 5.653700e-02 3.133800e-02 7.500000e-05
51 8.631240e-01 2.378430e-01 1.833937e+00 1.620000e-04 1.620740e-01 3.190500e-02 8.300000e-05
51 7.101750e-01 2.352380e-01 1.776761e+00 1.670000e-04 1.506890e-01 3.079700e-02 7.700000e-05
51 7.042840e-01 2.489730e-01 1.783012e+00 1.660000e-04 9.863300e-02 3.164600e-02 7.800000e-05
51 6.889970e-01 2.372790e-01 1.797593e+00 1.750000e-04 5.153800e-02 3.180800e-02 7.200000e-05
51 7.304160e-01 2.468540e-01 1.859122e+00 1.660000e-04 1.762350e-01 3.075900e-02 7.700000e-05
51 9.590650e-01 2.438000e-01 1.829222e+00 1.700000e-04 9.115500e-02 3.196500e-02 7.600000e-05
51 7.374370e-01 2.330410e-01 1.780962e+00 1.750000e-04 2.204760e-01 3.140200e-02 7.900000e-05
51 7.280130e-01 2.476370e-01 2.070502e+00 1.830000e-04 2.466700e-01 3.849400e-02 8.600000e-05
